work_type,t,shift,nurse_id,value
regular,4,Night,26,0
overtime,4,Night,27,0
regular,4,Night,27,0
overtime,4,Night,28,0
regular,4,Night,28,0
overtime,4,Night,29,0
regular,4,Night,29,0
overtime,5,Morning,0,0
regular,5,Morning,0,0
overtime,5,Morning,1,0
regular,5,Morning,1,0
overtime,5,Morning,2,0
regular,5,Morning,2,1
overtime,5,Morning,3,0
regular,5,Morning,3,0
overtime,5,Morning,4,0
regular,5,Morning,4,1
overtime,5,Morning,5,0
regular,5,Morning,5,0
overtime,5,Morning,6,0
regular,5,Morning,6,0
overtime,5,Morning,7,0
regular,5,Morning,7,1
overtime,5,Morning,8,0
regular,5,Morning,8,0
overtime,5,Morning,9,0
regular,5,Morning,9,0
overtime,5,Morning,10,0
regular,5,Morning,10,1
overtime,5,Morning,11,0
regular,5,Morning,11,0
overtime,5,Morning,12,0
regular,5,Morning,12,1
overtime,5,Morning,13,0
regular,5,Morning,13,0
overtime,5,Morning,14,0
regular,5,Morning,14,1
overtime,5,Morning,15,0
regular,5,Morning,15,0
overtime,5,Morning,16,0
regular,5,Morning,16,0
overtime,5,Morning,17,0
regular,5,Morning,17,0
overtime,5,Morning,18,0
regular,5,Morning,18,0
overtime,5,Morning,19,0
regular,5,Morning,19,0
overtime,5,Morning,20,1
regular,5,Morning,20,0
overtime,5,Morning,21,0
regular,5,Morning,21,0
overtime,5,Morning,22,0
regular,5,Morning,22,0
overtime,5,Morning,23,0
regular,5,Morning,23,0
overtime,5,Morning,24,0
regular,5,Morning,24,0
overtime,5,Morning,25,0
regular,5,Morning,25,0
overtime,5,Morning,26,0
regular,5,Morning,26,0
overtime,5,Morning,27,0
regular,5,Morning,27,0
overtime,5,Morning,28,0
regular,5,Morning,28,0
overtime,5,Morning,29,0
regular,5,Morning,29,0
overtime,5,Evening,0,0
regular,5,Evening,0,1
overtime,5,Evening,1,0
regular,5,Evening,1,0
overtime,5,Evening,2,0
regular,5,Evening,2,0
overtime,5,Evening,3,0
regular,5,Evening,3,0
overtime,5,Evening,4,0
regular,5,Evening,4,0
overtime,5,Evening,5,0
regular,5,Evening,5,0
overtime,5,Evening,6,0
regular,5,Evening,6,0
overtime,5,Evening,7,0
regular,5,Evening,7,0
overtime,5,Evening,8,0
regular,5,Evening,8,0
overtime,5,Evening,9,0
regular,5,Evening,9,0
overtime,5,Evening,10,0
regular,5,Evening,10,0
overtime,5,Evening,11,0
regular,5,Evening,11,0
overtime,5,Evening,12,0
regular,5,Evening,12,0
overtime,5,Evening,13,0
regular,5,Evening,13,0
overtime,5,Evening,14,0
regular,5,Evening,14,0
overtime,5,Evening,15,0
regular,5,Evening,15,0
overtime,5,Evening,16,0
regular,5,Evening,16,1
overtime,5,Evening,17,0
